id,values,breakdown,year,data_title
1145701150,154.75,Kuintil 1,,Rasio Angka Partisipasi Kasar (APK) Perempuan/Laki-Laki di Tingkat Perguruan Tinggi Menurut Kelompok Pengeluaran
1145701160,127.86,Kuintil 1,,Rasio Angka Partisipasi Kasar (APK) Perempuan/Laki-Laki di Tingkat Perguruan Tinggi Menurut Kelompok Pengeluaran
1145701170,121.14,Kuintil 1,,Rasio Angka Partisipasi Kasar (APK) Perempuan/Laki-Laki di Tingkat Perguruan Tinggi Menurut Kelompok Pengeluaran
1145701180,124.65,Kuintil 1,,Rasio Angka Partisipasi Kasar (APK) Perempuan/Laki-Laki di Tingkat Perguruan Tinggi Menurut Kelompok Pengeluaran
1145701190,102.8,Kuintil 1,,Rasio Angka Partisipasi Kasar (APK) Perempuan/Laki-Laki di Tingkat Perguruan Tinggi Menurut Kelompok Pengeluaran
1145701200,89.88,Kuintil 1,,Rasio Angka Partisipasi Kasar (APK) Perempuan/Laki-Laki di Tingkat Perguruan Tinggi Menurut Kelompok Pengeluaran
1145701210,119.45,Kuintil 1,,Rasio Angka Partisipasi Kasar (APK) Perempuan/Laki-Laki di Tingkat Perguruan Tinggi Menurut Kelompok Pengeluaran
2145701150,134.97,Kuintil 2,,Rasio Angka Partisipasi Kasar (APK) Perempuan/Laki-Laki di Tingkat Perguruan Tinggi Menurut Kelompok Pengeluaran
2145701160,123.7,Kuintil 2,,Rasio Angka Partisipasi Kasar (APK) Perempuan/Laki-Laki di Tingkat Perguruan Tinggi Menurut Kelompok Pengeluaran
2145701170,128.8,Kuintil 2,,Rasio Angka Partisipasi Kasar (APK) Perempuan/Laki-Laki di Tingkat Perguruan Tinggi Menurut Kelompok Pengeluaran
2145701180,124.33,Kuintil 2,,Rasio Angka Partisipasi Kasar (APK) Perempuan/Laki-Laki di Tingkat Perguruan Tinggi Menurut Kelompok Pengeluaran
2145701190,127.1,Kuintil 2,,Rasio Angka Partisipasi Kasar (APK) Perempuan/Laki-Laki di Tingkat Perguruan Tinggi Menurut Kelompok Pengeluaran
2145701200,113.01,Kuintil 2,,Rasio Angka Partisipasi Kasar (APK) Perempuan/Laki-Laki di Tingkat Perguruan Tinggi Menurut Kelompok Pengeluaran
2145701210,126.06,Kuintil 2,,Rasio Angka Partisipasi Kasar (APK) Perempuan/Laki-Laki di Tingkat Perguruan Tinggi Menurut Kelompok Pengeluaran
3145701150,149.97,Kuintil 3,,Rasio Angka Partisipasi Kasar (APK) Perempuan/Laki-Laki di Tingkat Perguruan Tinggi Menurut Kelompok Pengeluaran
3145701160,130.87,Kuintil 3,,Rasio Angka Partisipasi Kasar (APK) Perempuan/Laki-Laki di Tingkat Perguruan Tinggi Menurut Kelompok Pengeluaran
3145701170,118.41,Kuintil 3,,Rasio Angka Partisipasi Kasar (APK) Perempuan/Laki-Laki di Tingkat Perguruan Tinggi Menurut Kelompok Pengeluaran
3145701180,124.67,Kuintil 3,,Rasio Angka Partisipasi Kasar (APK) Perempuan/Laki-Laki di Tingkat Perguruan Tinggi Menurut Kelompok Pengeluaran
3145701190,128.03,Kuintil 3,,Rasio Angka Partisipasi Kasar (APK) Perempuan/Laki-Laki di Tingkat Perguruan Tinggi Menurut Kelompok Pengeluaran
3145701200,122.31,Kuintil 3,,Rasio Angka Partisipasi Kasar (APK) Perempuan/Laki-Laki di Tingkat Perguruan Tinggi Menurut Kelompok Pengeluaran
3145701210,124.81,Kuintil 3,,Rasio Angka Partisipasi Kasar (APK) Perempuan/Laki-Laki di Tingkat Perguruan Tinggi Menurut Kelompok Pengeluaran
4145701150,135.24,Kuintil 4,,Rasio Angka Partisipasi Kasar (APK) Perempuan/Laki-Laki di Tingkat Perguruan Tinggi Menurut Kelompok Pengeluaran
4145701160,129.98,Kuintil 4,,Rasio Angka Partisipasi Kasar (APK) Perempuan/Laki-Laki di Tingkat Perguruan Tinggi Menurut Kelompok Pengeluaran
4145701170,130.51,Kuintil 4,,Rasio Angka Partisipasi Kasar (APK) Perempuan/Laki-Laki di Tingkat Perguruan Tinggi Menurut Kelompok Pengeluaran
