id,values,gender,year,data_title
1133901150,76.4,Laki - Laki,2015,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Jenis Kelamin
1133901160,80.51,Laki - Laki,2016,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Jenis Kelamin
1133901170,82.49,Laki - Laki,2017,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Jenis Kelamin
1133901180,80.33,Laki - Laki,2018,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Jenis Kelamin
1133901190,82.03,Laki - Laki,2019,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Jenis Kelamin
1133901200,84.15,Laki - Laki,2020,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Jenis Kelamin
1133901210,83.48,Laki - Laki,2021,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Jenis Kelamin
2133901150,79.77,Perempuan,2015,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Jenis Kelamin
2133901160,81.29,Perempuan,2016,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Jenis Kelamin
2133901170,83.2,Perempuan,2017,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Jenis Kelamin
2133901180,81.04,Perempuan,2018,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Jenis Kelamin
2133901190,86.06,Perempuan,2019,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Jenis Kelamin
2133901200,84.92,Perempuan,2020,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Jenis Kelamin
2133901210,87.05,Perempuan,2021,Angka Partisipasi Kasar (APK) SMA/SMK/MA/ Sederajat Menurut Jenis Kelamin
