id,values,gender,year,data_title
1144101150,34.26,Laki - Laki,2015,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
1144101150,34.26,Laki-laki,2015,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
1144101160,34.01,Laki - Laki,2016,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
1144101160,34.01,Laki-laki,2016,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
2144101150,36.16,Perempuan,2015,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
2144101160,35.26,Perempuan,2016,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
1144101110,23.75,Laki - Laki,2011,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
1144101110,23.75,Laki-laki,2011,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
1144101120,26.08,Laki - Laki,2012,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
1144101120,26.08,Laki-laki,2012,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
1144101130,26.92,Laki - Laki,2013,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
1144101130,26.92,Laki-laki,2013,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
1144101140,28.67,Laki - Laki,2014,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
1144101140,28.67,Laki-laki,2014,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
1144101170,33.21,Laki - Laki,2017,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
1144101170,33.21,Laki-laki,2017,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
1144101180,37.36,Laki - Laki,2018,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
1144101180,37.36,Laki-laki,2018,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
1144101190,36.39,Laki - Laki,2019,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
1144101190,36.39,Laki-laki,2019,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
1144101200,36.88,Laki - Laki,2020,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
1144101200,36.88,Laki-laki,2020,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
1144101210,34.9,Laki - Laki,2021,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
1144101210,34.9,Laki-laki,2021,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
2144101110,25.31,Perempuan,2011,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
2144101120,27.39,Perempuan,2012,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
2144101130,28.21,Perempuan,2013,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
2144101140,29.97,Perempuan,2014,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
2144101170,34.5,Perempuan,2017,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
2144101180,38.5,Perempuan,2018,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
2144101190,37.49,Perempuan,2019,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
2144101200,38.19,Perempuan,2020,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
2144101210,36.3,Perempuan,2021,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
3144101110,24.5,Laki-laki + Perempuan,2011,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
3144101120,26.72,Laki-laki + Perempuan,2012,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
3144101130,27.55,Laki-laki + Perempuan,2013,Angka Partisipasi Kasar (APK) Anak Yang Mengikuti Pendidikan Anak Usia Dini (PAUD) Menurut Jenis Kelamin
