id,values,area,breakdown,year,data_title
1198216721150,90.05,,,,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216721160,92.17,,,,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216721170,94.28,,,,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216721180,93.58,,,,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216721190,94.46,,,,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216721200,95.69,,,,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216721210,97.0,,,,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216731150,77.44,,,,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216731160,81.56,,,,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216731170,82.7,,,,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216731180,82.65,,,,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216731190,83.34,,,,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216731200,86.26,,,,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216731210,87.04,,,,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216741150,48.61,,,,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216741160,55.4,,,,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216741170,56.64,,,,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216741180,60.64,,,,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216741190,57.0,,,,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216741200,62.15,,,,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
1198216741210,64.48,,,,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
2198216721150,92.9,,,,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
2198216721160,95.66,,,,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
2198216721170,96.29,,,,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
2198216721180,95.86,,,,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
2198216721190,96.54,,,,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
2198216721200,96.33,,,,Tingkat Penyelesaian Pendidikan Menurut Jenjang Pendidikan dan Jenis Kelamin
