id,values,dimensi,tahun,jenis_kelamin,data_title
15977771120,3.44,Indeks Persepsi,2012,≤ SLTP,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
15977771130,3.56,Indeks Persepsi,2013,≤ SLTP,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
15977771140,3.6,Indeks Persepsi,2014,≤ SLTP,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
15977771150,3.61,Indeks Persepsi,2015,≤ SLTP,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
15977781120,3.84,Indeks Persepsi,2012,SLTA,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
15977781130,3.91,Indeks Persepsi,2013,SLTA,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
15977781140,3.98,Indeks Persepsi,2014,SLTA,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
15977781150,3.99,Indeks Persepsi,2015,SLTA,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
15977791120,4.0,Indeks Persepsi,2012,&gt; SLTA,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
15977791130,4.08,Indeks Persepsi,2013,&gt; SLTA,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
15977791140,4.16,Indeks Persepsi,2014,&gt; SLTA,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
15977791150,4.16,Indeks Persepsi,2015,&gt; SLTA,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
15977801120,3.54,Indeks Persepsi,2012,Jumlah,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
15977801130,3.66,Indeks Persepsi,2013,Jumlah,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
15977801140,3.71,Indeks Persepsi,2014,Jumlah,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
15977801150,3.73,Indeks Persepsi,2015,Jumlah,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
25977771120,3.53,Indeks Pengalaman,2012,≤ SLTP,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
25977771130,3.54,Indeks Pengalaman,2013,≤ SLTP,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
25977771140,3.41,Indeks Pengalaman,2014,≤ SLTP,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
25977771150,3.3,Indeks Pengalaman,2015,≤ SLTP,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
25977781120,3.7,Indeks Pengalaman,2012,SLTA,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
25977781130,3.71,Indeks Pengalaman,2013,SLTA,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
25977781140,3.68,Indeks Pengalaman,2014,SLTA,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
25977781150,3.58,Indeks Pengalaman,2015,SLTA,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
25977791120,3.8,Indeks Pengalaman,2012,&gt; SLTA,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
25977791130,3.8,Indeks Pengalaman,2013,&gt; SLTA,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
25977791140,3.83,Indeks Pengalaman,2014,&gt; SLTA,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
25977791150,3.8,Indeks Pengalaman,2015,&gt; SLTA,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
25977801120,3.58,Indeks Pengalaman,2012,Jumlah,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
25977801130,3.58,Indeks Pengalaman,2013,Jumlah,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
25977801140,3.49,Indeks Pengalaman,2014,Jumlah,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
25977801150,3.39,Indeks Pengalaman,2015,Jumlah,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
35977771120,3.47,IPAK,2012,≤ SLTP,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
35977771130,3.55,IPAK,2013,≤ SLTP,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
35977771140,3.52,IPAK,2014,≤ SLTP,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
35977771150,3.49,IPAK,2015,≤ SLTP,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
35977781120,3.78,IPAK,2012,SLTA,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
35977781130,3.82,IPAK,2013,SLTA,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
35977781140,3.85,IPAK,2014,SLTA,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
35977781150,3.8,IPAK,2015,SLTA,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
35977791120,3.94,IPAK,2012,&gt; SLTA,Indeks Perilaku Anti Korupsi (IPAK) Menurut Dimensi dan Jenjang Pendidikan
