id,values,provinsi,tahun,aspek,data_title
99996277941170,59.9,INDONESIA,2017,[Subdimensi Personal] Pendidikan,Dimensi Kepuasan Hidup Indeks Kebahagiaan
99996277941210,62.79,INDONESIA,2021,[Subdimensi Personal] Pendidikan,Dimensi Kepuasan Hidup Indeks Kebahagiaan
99996277951170,67.15,INDONESIA,2017,[Subdimensi Personal] Pekerjaan,Dimensi Kepuasan Hidup Indeks Kebahagiaan
99996277951210,72.37,INDONESIA,2021,[Subdimensi Personal] Pekerjaan,Dimensi Kepuasan Hidup Indeks Kebahagiaan
99996277961170,62.99,INDONESIA,2017,[Subdimensi Personal] Pendapatan Rumah Tangga,Dimensi Kepuasan Hidup Indeks Kebahagiaan
99996277961210,66.76,INDONESIA,2021,[Subdimensi Personal] Pendapatan Rumah Tangga,Dimensi Kepuasan Hidup Indeks Kebahagiaan
99996277971170,71.12,INDONESIA,2017,[Subdimensi Personal] Kesehatan,Dimensi Kepuasan Hidup Indeks Kebahagiaan
99996277971210,76.28,INDONESIA,2021,[Subdimensi Personal] Kesehatan,Dimensi Kepuasan Hidup Indeks Kebahagiaan
99996277981170,69.28,INDONESIA,2017,[Subdimensi Personal] Kondisi Rumah dan Aset,Dimensi Kepuasan Hidup Indeks Kebahagiaan
99996277981210,73.64,INDONESIA,2021,[Subdimensi Personal] Kondisi Rumah dan Aset,Dimensi Kepuasan Hidup Indeks Kebahagiaan
99996277991170,65.98,INDONESIA,2017,Subdimensi Personal (Total),Dimensi Kepuasan Hidup Indeks Kebahagiaan
99996277991210,70.26,INDONESIA,2021,Subdimensi Personal (Total),Dimensi Kepuasan Hidup Indeks Kebahagiaan
99996278001170,75.45,INDONESIA,2017,[Subdimensi Sosial] Hubungan Sosial,Dimensi Kepuasan Hidup Indeks Kebahagiaan
99996278001210,79.1,INDONESIA,2021,[Subdimensi Sosial] Hubungan Sosial,Dimensi Kepuasan Hidup Indeks Kebahagiaan
99996278011170,76.09,INDONESIA,2017,[Subdimensi Sosial] Keadaan Lingkungan,Dimensi Kepuasan Hidup Indeks Kebahagiaan
99996278011210,81.56,INDONESIA,2021,[Subdimensi Sosial] Keadaan Lingkungan,Dimensi Kepuasan Hidup Indeks Kebahagiaan
99996278021170,77.15,INDONESIA,2017,[Subdimensi Sosial] Kondisi Keamanan,Dimensi Kepuasan Hidup Indeks Kebahagiaan
99996278021210,81.2,INDONESIA,2021,[Subdimensi Sosial] Kondisi Keamanan,Dimensi Kepuasan Hidup Indeks Kebahagiaan
99996278031170,80.05,INDONESIA,2017,[Subdimensi Sosial] Keharmonisan Keluarga,Dimensi Kepuasan Hidup Indeks Kebahagiaan
99996278031210,82.56,INDONESIA,2021,[Subdimensi Sosial] Keharmonisan Keluarga,Dimensi Kepuasan Hidup Indeks Kebahagiaan
99996278041170,72.08,INDONESIA,2017,[Subdimensi Sosial] Ketersediaan Waktu Luang,Dimensi Kepuasan Hidup Indeks Kebahagiaan
99996278041210,75.87,INDONESIA,2021,[Subdimensi Sosial] Ketersediaan Waktu Luang,Dimensi Kepuasan Hidup Indeks Kebahagiaan
99996278051170,76.16,INDONESIA,2017,Subdimensi Sosial (Total),Dimensi Kepuasan Hidup Indeks Kebahagiaan
99996278051210,80.07,INDONESIA,2021,Subdimensi Sosial (Total),Dimensi Kepuasan Hidup Indeks Kebahagiaan
99996278061170,71.07,INDONESIA,2017,Dimensi Kepuasan Hidup (Total),Dimensi Kepuasan Hidup Indeks Kebahagiaan
99996278061210,75.16,INDONESIA,2021,Dimensi Kepuasan Hidup (Total),Dimensi Kepuasan Hidup Indeks Kebahagiaan
11006277941170,60.6,ACEH,2017,[Subdimensi Personal] Pendidikan,Dimensi Kepuasan Hidup Indeks Kebahagiaan
11006277941210,62.99,ACEH,2021,[Subdimensi Personal] Pendidikan,Dimensi Kepuasan Hidup Indeks Kebahagiaan
11006277951170,68.83,ACEH,2017,[Subdimensi Personal] Pekerjaan,Dimensi Kepuasan Hidup Indeks Kebahagiaan
11006277951210,72.89,ACEH,2021,[Subdimensi Personal] Pekerjaan,Dimensi Kepuasan Hidup Indeks Kebahagiaan
11006277961170,64.77,ACEH,2017,[Subdimensi Personal] Pendapatan Rumah Tangga,Dimensi Kepuasan Hidup Indeks Kebahagiaan
11006277961210,67.4,ACEH,2021,[Subdimensi Personal] Pendapatan Rumah Tangga,Dimensi Kepuasan Hidup Indeks Kebahagiaan
