id,values,kelompok_umur,tahun,data_title
161501130,61.69,Tidak/Belum Pernah Sekolah ,2013,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
161501140,62.96,Tidak/Belum Pernah Sekolah ,2014,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
161501170,66.52,Tidak/Belum Pernah Sekolah ,2017,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
161501210,66.94,Tidak/Belum Pernah Sekolah ,2021,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
261501130,61.9,Tidak tamat SD sederajat   ,2013,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
261501140,65.3,Tidak tamat SD sederajat   ,2014,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
261501170,67.86,Tidak tamat SD sederajat   ,2017,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
261501210,68.83,Tidak tamat SD sederajat   ,2021,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
361501130,63.93,SD/MI/SDLB/Paket A    ,2013,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
361501140,67.03,SD/MI/SDLB/Paket A    ,2014,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
361501170,69.2,SD/MI/SDLB/Paket A    ,2017,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
361501210,70.1,SD/MI/SDLB/Paket A    ,2021,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
461501130,65.56,SMP/MTs/SMPLB/Paket B  ,2013,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
461501140,68.48,SMP/MTs/SMPLB/Paket B  ,2014,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
461501170,70.41,SMP/MTs/SMPLB/Paket B  ,2017,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
461501210,71.3,SMP/MTs/SMPLB/Paket B  ,2021,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
561501130,67.63,SMA/SMK/MA/SMALB/Paket C   ,2013,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
561501140,71.08,SMA/SMK/MA/SMALB/Paket C   ,2014,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
561501170,72.51,SMA/SMK/MA/SMALB/Paket C   ,2017,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
561501210,73.31,SMA/SMK/MA/SMALB/Paket C   ,2021,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
661501130,70.12,"Diploma I, II, III   ",2013,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
661501140,73.86,"Diploma I, II, III   ",2014,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
661501170,75.48,"Diploma I, II, III   ",2017,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
661501210,76.03,"Diploma I, II, III   ",2021,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
761501130,72.68,Diploma IV/S1 ,2013,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
761501140,76.47,Diploma IV/S1 ,2014,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
761501170,76.86,Diploma IV/S1 ,2017,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
761501210,78.05,Diploma IV/S1 ,2021,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
861501130,75.58,"S2, S3",2013,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
861501140,79.47,"S2, S3",2014,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
861501170,79.55,"S2, S3",2017,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
861501210,82.16,"S2, S3",2021,Indeks Kebahagiaan Menurut Pendidikan Tertinggi yang Ditamatkan
