id,values,kelompok_umur,tahun,data_title
1150101120,3.66,Perkotaan,2012,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
1150101130,3.71,Perkotaan,2013,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
1150101140,3.71,Perkotaan,2014,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
1150101150,3.71,Perkotaan,2015,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
1150101170,3.86,Perkotaan,2017,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
1150101180,3.81,Perkotaan,2018,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
1150101190,3.86,Perkotaan,2019,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
1150101200,3.87,Perkotaan,2020,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
1150101210,3.92,Perkotaan,2021,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
1150101220,3.96,Perkotaan,2022,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
2150101120,3.46,Perdesaan,2012,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
2150101130,3.55,Perdesaan,2013,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
2150101140,3.51,Perdesaan,2014,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
2150101150,3.46,Perdesaan,2015,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
2150101170,3.53,Perdesaan,2017,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
2150101180,3.47,Perdesaan,2018,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
2150101190,3.49,Perdesaan,2019,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
2150101200,3.81,Perdesaan,2020,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
2150101210,3.83,Perdesaan,2021,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
2150101220,3.9,Perdesaan,2022,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
3150101120,3.55,Perkotaan + Perdesaan,2012,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
3150101130,3.63,Perkotaan + Perdesaan,2013,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
3150101140,3.61,Perkotaan + Perdesaan,2014,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
3150101150,3.59,Perkotaan + Perdesaan,2015,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
3150101170,3.71,Perkotaan + Perdesaan,2017,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
3150101180,3.66,Perkotaan + Perdesaan,2018,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
3150101190,3.7,Perkotaan + Perdesaan,2019,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
3150101200,3.84,Perkotaan + Perdesaan,2020,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
3150101210,3.88,Perkotaan + Perdesaan,2021,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
3150101220,3.93,Perkotaan + Perdesaan,2022,Indeks Perilaku Anti Korupsi (IPAK) Menurut Daerah Tempat Tinggal
