id,values,dimensi,tahun,jenis_kelamin,data_title
999959801090,67.3,,2009,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
999959801100,63.17,,2010,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
999959801110,65.48,,2011,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
999959801120,62.63,,2012,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
999959801130,63.72,,2013,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
999959801140,73.04,,2014,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
999959801150,72.82,,2015,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
999959801160,70.09,,2016,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
999959801170,72.11,,2017,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
999959801180,72.39,,2018,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
999959801190,74.92,,2019,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
999959801200,73.66,,2020,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
110059801090,66.29,,2009,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
110059801100,65.36,,2010,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
110059801110,55.54,,2011,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
110059801120,54.02,,2012,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
110059801130,63.56,,2013,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
110059801140,72.29,,2014,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
110059801150,67.78,,2015,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
110059801160,72.48,,2016,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
110059801170,70.93,,2017,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
110059801180,79.97,,2018,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
110059801190,78.0,,2019,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
110059801200,73.93,,2020,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
120059801090,60.2,,2009,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
120059801100,63.45,,2010,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
120059801110,66.15,,2011,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
120059801120,58.51,,2012,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
120059801130,58.8,,2013,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
120059801140,68.02,,2014,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
120059801150,69.01,,2015,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
120059801160,67.37,,2016,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
120059801170,68.08,,2017,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
120059801180,64.33,,2018,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
120059801190,67.65,,2019,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
120059801200,65.13,,2020,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
130059801090,60.29,,2009,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
130059801100,63.04,,2010,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
130059801110,65.02,,2011,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
130059801120,60.82,,2012,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
130059801130,54.11,,2013,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
130059801140,63.99,,2014,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
130059801150,67.46,,2015,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
130059801160,54.41,,2016,,Indeks Demokrasi Indonesia (IDI) Menurut Provinsi
