id,values,dimensi,tahun,label,data_title
999949401100,66.53,INDONESIA,2010,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
999949401110,67.09,INDONESIA,2011,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
999949401120,67.7,INDONESIA,2012,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
999949401130,68.31,INDONESIA,2013,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
999949401140,68.9,INDONESIA,2014,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
999949401150,69.55,INDONESIA,2015,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
999949401160,70.18,INDONESIA,2016,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
999949401170,70.81,INDONESIA,2017,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
999949401180,71.39,INDONESIA,2018,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
999949401190,71.92,INDONESIA,2019,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
999949401200,71.94,INDONESIA,2020,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
999949401210,72.29,INDONESIA,2021,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
999949401220,72.91,INDONESIA,2022,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
110049401100,67.09,ACEH,2010,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
110049401110,67.45,ACEH,2011,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
110049401120,67.81,ACEH,2012,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
110049401130,68.3,ACEH,2013,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
110049401140,68.81,ACEH,2014,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
110049401150,69.45,ACEH,2015,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
110049401160,70.0,ACEH,2016,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
110049401170,70.6,ACEH,2017,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
110049401180,71.19,ACEH,2018,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
110049401190,71.9,ACEH,2019,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
110049401200,71.99,ACEH,2020,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
110049401210,72.18,ACEH,2021,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
110049401220,72.8,ACEH,2022,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
120049401100,67.09,SUMATERA UTARA,2010,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
120049401110,67.34,SUMATERA UTARA,2011,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
120049401120,67.74,SUMATERA UTARA,2012,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
120049401130,68.36,SUMATERA UTARA,2013,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
120049401140,68.87,SUMATERA UTARA,2014,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
120049401150,69.51,SUMATERA UTARA,2015,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
120049401160,70.0,SUMATERA UTARA,2016,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
120049401170,70.57,SUMATERA UTARA,2017,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
120049401180,71.18,SUMATERA UTARA,2018,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
120049401190,71.74,SUMATERA UTARA,2019,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
120049401200,71.77,SUMATERA UTARA,2020,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
120049401210,72.0,SUMATERA UTARA,2021,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
120049401220,72.71,SUMATERA UTARA,2022,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
130049401100,67.25,SUMATERA BARAT,2010,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
130049401110,67.81,SUMATERA BARAT,2011,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
130049401120,68.36,SUMATERA BARAT,2012,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
130049401130,68.91,SUMATERA BARAT,2013,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
130049401140,69.36,SUMATERA BARAT,2014,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
130049401150,69.98,SUMATERA BARAT,2015,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
130049401160,70.73,SUMATERA BARAT,2016,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
130049401170,71.24,SUMATERA BARAT,2017,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
130049401180,71.73,SUMATERA BARAT,2018,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
130049401190,72.39,SUMATERA BARAT,2019,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
130049401200,72.38,SUMATERA BARAT,2020,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
130049401210,72.65,SUMATERA BARAT,2021,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
130049401220,73.26,SUMATERA BARAT,2022,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
140049401100,68.65,RIAU,2010,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
140049401110,68.9,RIAU,2011,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
140049401120,69.15,RIAU,2012,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
140049401130,69.91,RIAU,2013,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
140049401140,70.33,RIAU,2014,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
140049401150,70.84,RIAU,2015,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
140049401160,71.2,RIAU,2016,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
140049401170,71.79,RIAU,2017,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
140049401180,72.44,RIAU,2018,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
140049401190,73.0,RIAU,2019,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
140049401200,72.71,RIAU,2020,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
140049401210,72.94,RIAU,2021,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
140049401220,73.52,RIAU,2022,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
150049401100,65.39,JAMBI,2010,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
150049401110,66.14,JAMBI,2011,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
150049401120,66.94,JAMBI,2012,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
150049401130,67.76,JAMBI,2013,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
150049401140,68.24,JAMBI,2014,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
150049401150,68.89,JAMBI,2015,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
150049401160,69.62,JAMBI,2016,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
150049401170,69.99,JAMBI,2017,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
150049401180,70.65,JAMBI,2018,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
150049401190,71.26,JAMBI,2019,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
150049401200,71.29,JAMBI,2020,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
150049401210,71.63,JAMBI,2021,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
150049401220,72.14,JAMBI,2022,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
160049401100,64.44,SUMATERA SELATAN,2010,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
160049401110,65.12,SUMATERA SELATAN,2011,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
160049401120,65.79,SUMATERA SELATAN,2012,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
160049401130,66.16,SUMATERA SELATAN,2013,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
160049401140,66.75,SUMATERA SELATAN,2014,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
160049401150,67.46,SUMATERA SELATAN,2015,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
160049401160,68.24,SUMATERA SELATAN,2016,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
160049401170,68.86,SUMATERA SELATAN,2017,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
160049401180,69.39,SUMATERA SELATAN,2018,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
160049401190,70.02,SUMATERA SELATAN,2019,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
160049401200,70.01,SUMATERA SELATAN,2020,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
160049401210,70.24,SUMATERA SELATAN,2021,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
160049401220,70.9,SUMATERA SELATAN,2022,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
170049401100,65.35,BENGKULU,2010,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
170049401110,65.96,BENGKULU,2011,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
170049401120,66.61,BENGKULU,2012,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
170049401130,67.5,BENGKULU,2013,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
170049401140,68.06,BENGKULU,2014,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
170049401150,68.59,BENGKULU,2015,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
170049401160,69.33,BENGKULU,2016,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
170049401170,69.95,BENGKULU,2017,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
170049401180,70.64,BENGKULU,2018,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
170049401190,71.21,BENGKULU,2019,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
170049401200,71.4,BENGKULU,2020,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
170049401210,71.64,BENGKULU,2021,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
170049401220,72.16,BENGKULU,2022,,[Metode Baru] Indeks Pembangunan Manusia menurut Provinsi
