id,values,gender,year,data_title
1142401110,103.29,Laki - Laki,2011,Angka Partisipasi Kasar (APK) SD/MI/Sederajat Menurut Jenis Kelamin
1142401120,104.55,Laki - Laki,2012,Angka Partisipasi Kasar (APK) SD/MI/Sederajat Menurut Jenis Kelamin
1142401130,108.19,Laki - Laki,2013,Angka Partisipasi Kasar (APK) SD/MI/Sederajat Menurut Jenis Kelamin
1142401140,109.37,Laki - Laki,2014,Angka Partisipasi Kasar (APK) SD/MI/Sederajat Menurut Jenis Kelamin
1142401150,110.88,Laki - Laki,2015,Angka Partisipasi Kasar (APK) SD/MI/Sederajat Menurut Jenis Kelamin
1142401160,109.93,Laki - Laki,2016,Angka Partisipasi Kasar (APK) SD/MI/Sederajat Menurut Jenis Kelamin
1142401170,108.74,Laki - Laki,2017,Angka Partisipasi Kasar (APK) SD/MI/Sederajat Menurut Jenis Kelamin
1142401180,108.91,Laki - Laki,2018,Angka Partisipasi Kasar (APK) SD/MI/Sederajat Menurut Jenis Kelamin
1142401190,107.61,Laki - Laki,2019,Angka Partisipasi Kasar (APK) SD/MI/Sederajat Menurut Jenis Kelamin
1142401200,106.33,Laki - Laki,2020,Angka Partisipasi Kasar (APK) SD/MI/Sederajat Menurut Jenis Kelamin
1142401210,106.18,Laki - Laki,2021,Angka Partisipasi Kasar (APK) SD/MI/Sederajat Menurut Jenis Kelamin
2142401110,101.8,Perempuan,2011,Angka Partisipasi Kasar (APK) SD/MI/Sederajat Menurut Jenis Kelamin
2142401120,104.1,Perempuan,2012,Angka Partisipasi Kasar (APK) SD/MI/Sederajat Menurut Jenis Kelamin
2142401130,107.21,Perempuan,2013,Angka Partisipasi Kasar (APK) SD/MI/Sederajat Menurut Jenis Kelamin
2142401140,108.35,Perempuan,2014,Angka Partisipasi Kasar (APK) SD/MI/Sederajat Menurut Jenis Kelamin
2142401150,110.09,Perempuan,2015,Angka Partisipasi Kasar (APK) SD/MI/Sederajat Menurut Jenis Kelamin
2142401160,108.66,Perempuan,2016,Angka Partisipasi Kasar (APK) SD/MI/Sederajat Menurut Jenis Kelamin
2142401170,108.24,Perempuan,2017,Angka Partisipasi Kasar (APK) SD/MI/Sederajat Menurut Jenis Kelamin
2142401180,108.29,Perempuan,2018,Angka Partisipasi Kasar (APK) SD/MI/Sederajat Menurut Jenis Kelamin
2142401190,107.31,Perempuan,2019,Angka Partisipasi Kasar (APK) SD/MI/Sederajat Menurut Jenis Kelamin
2142401200,106.32,Perempuan,2020,Angka Partisipasi Kasar (APK) SD/MI/Sederajat Menurut Jenis Kelamin
2142401210,106.21,Perempuan,2021,Angka Partisipasi Kasar (APK) SD/MI/Sederajat Menurut Jenis Kelamin
