id,values,area,breakdown,year,data_title
99993015351030,96.42,INDONESIA,7-12,2003,Angka Partisipasi Sekolah ( A P S )
99993015351040,96.77,INDONESIA,7-12,2004,Angka Partisipasi Sekolah ( A P S )
99993015351050,97.14,INDONESIA,7-12,2005,Angka Partisipasi Sekolah ( A P S )
99993015351060,97.39,INDONESIA,7-12,2006,Angka Partisipasi Sekolah ( A P S )
99993015351070,97.64,INDONESIA,7-12,2007,Angka Partisipasi Sekolah ( A P S )
99993015351080,97.88,INDONESIA,7-12,2008,Angka Partisipasi Sekolah ( A P S )
99993015351090,97.95,INDONESIA,7-12,2009,Angka Partisipasi Sekolah ( A P S )
99993015351100,98.02,INDONESIA,7-12,2010,Angka Partisipasi Sekolah ( A P S )
99993015351110,97.62,INDONESIA,7-12,2011,Angka Partisipasi Sekolah ( A P S )
99993015351120,98.02,INDONESIA,7-12,2012,Angka Partisipasi Sekolah ( A P S )
99993015351130,98.42,INDONESIA,7-12,2013,Angka Partisipasi Sekolah ( A P S )
99993015351140,98.92,INDONESIA,7-12,2014,Angka Partisipasi Sekolah ( A P S )
99993015351150,99.09,INDONESIA,7-12,2015,Angka Partisipasi Sekolah ( A P S )
99993015351160,99.09,INDONESIA,7-12,2016,Angka Partisipasi Sekolah ( A P S )
99993015351170,99.14,INDONESIA,7-12,2017,Angka Partisipasi Sekolah ( A P S )
99993015351180,99.22,INDONESIA,7-12,2018,Angka Partisipasi Sekolah ( A P S )
99993015351190,99.24,INDONESIA,7-12,2019,Angka Partisipasi Sekolah ( A P S )
99993015351200,99.26,INDONESIA,7-12,2020,Angka Partisipasi Sekolah ( A P S )
99993015351210,99.19,INDONESIA,7-12,2021,Angka Partisipasi Sekolah ( A P S )
99993015361030,81.01,INDONESIA,13-15,2003,Angka Partisipasi Sekolah ( A P S )
99993015361040,83.49,INDONESIA,13-15,2004,Angka Partisipasi Sekolah ( A P S )
99993015361050,84.02,INDONESIA,13-15,2005,Angka Partisipasi Sekolah ( A P S )
99993015361060,84.08,INDONESIA,13-15,2006,Angka Partisipasi Sekolah ( A P S )
99993015361070,84.65,INDONESIA,13-15,2007,Angka Partisipasi Sekolah ( A P S )
99993015361080,84.89,INDONESIA,13-15,2008,Angka Partisipasi Sekolah ( A P S )
99993015361090,85.47,INDONESIA,13-15,2009,Angka Partisipasi Sekolah ( A P S )
99993015361100,86.24,INDONESIA,13-15,2010,Angka Partisipasi Sekolah ( A P S )
99993015361110,87.99,INDONESIA,13-15,2011,Angka Partisipasi Sekolah ( A P S )
99993015361120,89.76,INDONESIA,13-15,2012,Angka Partisipasi Sekolah ( A P S )
99993015361130,90.81,INDONESIA,13-15,2013,Angka Partisipasi Sekolah ( A P S )
