id,values,jenis_kelamin,jenjang,tahun,data_title
1198816721190,1.57,Kuintil 1,SD / Sederajat,2019,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
1198816721200,1.07,Kuintil 1,SD / Sederajat,2020,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
1198816721210,1.14,Kuintil 1,SD / Sederajat,2021,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
1198816731190,11.47,Kuintil 1,SMP / Sederajat,2019,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
1198816731200,12.04,Kuintil 1,SMP / Sederajat,2020,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
1198816731210,10.91,Kuintil 1,SMP / Sederajat,2021,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
1198816741190,34.46,Kuintil 1,SMA / Sederajat,2019,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
1198816741200,34.6,Kuintil 1,SMA / Sederajat,2020,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
1198816741210,31.39,Kuintil 1,SMA / Sederajat,2021,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
2198816721190,0.75,Kuintil 2,SD / Sederajat,2019,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
2198816721200,0.57,Kuintil 2,SD / Sederajat,2020,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
2198816721210,0.63,Kuintil 2,SD / Sederajat,2021,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
2198816731190,7.54,Kuintil 2,SMP / Sederajat,2019,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
2198816731200,7.96,Kuintil 2,SMP / Sederajat,2020,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
2198816731210,7.02,Kuintil 2,SMP / Sederajat,2021,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
2198816741190,28.68,Kuintil 2,SMA / Sederajat,2019,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
2198816741200,26.11,Kuintil 2,SMA / Sederajat,2020,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
2198816741210,25.21,Kuintil 2,SMA / Sederajat,2021,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
3198816721190,0.71,Kuintil 3,SD / Sederajat,2019,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
3198816721200,0.49,Kuintil 3,SD / Sederajat,2020,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
3198816721210,0.48,Kuintil 3,SD / Sederajat,2021,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
3198816731190,6.05,Kuintil 3,SMP / Sederajat,2019,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
3198816731200,6.36,Kuintil 3,SMP / Sederajat,2020,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
3198816731210,5.52,Kuintil 3,SMP / Sederajat,2021,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
3198816741190,23.01,Kuintil 3,SMA / Sederajat,2019,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
3198816741200,21.14,Kuintil 3,SMA / Sederajat,2020,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
3198816741210,20.23,Kuintil 3,SMA / Sederajat,2021,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
4198816721190,0.57,Kuintil 4,SD / Sederajat,2019,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
4198816721200,0.48,Kuintil 4,SD / Sederajat,2020,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
4198816721210,0.41,Kuintil 4,SD / Sederajat,2021,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
4198816731190,4.83,Kuintil 4,SMP / Sederajat,2019,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
4198816731200,5.32,Kuintil 4,SMP / Sederajat,2020,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
4198816731210,5.26,Kuintil 4,SMP / Sederajat,2021,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
4198816741190,20.21,Kuintil 4,SMA / Sederajat,2019,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
4198816741200,17.93,Kuintil 4,SMA / Sederajat,2020,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
4198816741210,17.67,Kuintil 4,SMA / Sederajat,2021,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
5198816721190,0.38,Kuintil 5,SD / Sederajat,2019,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
5198816721200,0.35,Kuintil 5,SD / Sederajat,2020,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
5198816721210,0.44,Kuintil 5,SD / Sederajat,2021,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
5198816731190,3.47,Kuintil 5,SMP / Sederajat,2019,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kelompok Pengeluaran
