id,values,jenis_kelamin,tahun,data_title
1143101110,8.29,Laki - Laki,2011,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Jenis Kelamin
1143101120,8.45,Laki - Laki,2012,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Jenis Kelamin
1143101130,8.49,Laki - Laki,2013,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Jenis Kelamin
1143101140,8.61,Laki - Laki,2014,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Jenis Kelamin
1143101150,8.69,Laki - Laki,2015,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Jenis Kelamin
1143101160,8.75,Laki - Laki,2016,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Jenis Kelamin
1143101170,8.83,Laki - Laki,2017,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Jenis Kelamin
1143101180,8.9,Laki - Laki,2018,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Jenis Kelamin
1143101190,9.08,Laki - Laki,2019,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Jenis Kelamin
1143101200,9.19,Laki - Laki,2020,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Jenis Kelamin
1143101210,9.23,Laki - Laki,2021,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Jenis Kelamin
1143101220,9.28,Laki - Laki,2022,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Jenis Kelamin
2143101110,7.41,Perempuan,2011,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Jenis Kelamin
2143101120,7.61,Perempuan,2012,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Jenis Kelamin
2143101130,7.7,Perempuan,2013,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Jenis Kelamin
2143101140,7.85,Perempuan,2014,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Jenis Kelamin
2143101150,7.96,Perempuan,2015,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Jenis Kelamin
2143101160,8.09,Perempuan,2016,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Jenis Kelamin
2143101170,8.17,Perempuan,2017,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Jenis Kelamin
2143101180,8.26,Perempuan,2018,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Jenis Kelamin
2143101190,8.42,Perempuan,2019,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Jenis Kelamin
2143101200,8.6,Perempuan,2020,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Jenis Kelamin
2143101210,8.7,Perempuan,2021,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Jenis Kelamin
2143101220,8.87,Perempuan,2022,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Jenis Kelamin
