id,values,jenis_kelamin,tahun,data_title
1146001110,95.39,Laki-laki,2011,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
1146001120,95.69,Laki-laki,2012,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
1146001130,96.47,Laki-laki,2013,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
1146001140,96.79,Laki-laki,2014,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
1146001150,97.11,Laki-laki,2015,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
1146001160,97.17,Laki-laki,2016,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
1146001170,97.25,Laki-laki,2017,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
1146001180,97.33,Laki-laki,2018,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
1146001190,97.48,Laki-laki,2019,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
1146001200,97.45,Laki-laki,2020,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
1146001210,97.43,Laki-laki,2021,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
1146001220,97.42,Laki-laki,2022,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
2146001110,89.51,Perempuan,2011,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
2146001120,90.27,Perempuan,2012,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
2146001130,91.4,Perempuan,2013,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
2146001140,93.45,Perempuan,2014,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
2146001150,93.34,Perempuan,2015,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
2146001160,93.59,Perempuan,2016,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
2146001170,93.76,Perempuan,2017,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
2146001180,93.99,Perempuan,2018,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
2146001190,94.33,Perempuan,2019,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
2146001200,94.55,Perempuan,2020,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
2146001210,94.65,Perempuan,2021,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
2146001220,95.26,Perempuan,2022,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
3146001110,92.44,Laki-laki + Perempuan,2011,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
3146001120,92.97,Laki-laki + Perempuan,2012,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
3146001130,93.92,Laki-laki + Perempuan,2013,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
3146001140,95.12,Laki-laki + Perempuan,2014,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
3146001150,95.22,Laki-laki + Perempuan,2015,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
3146001160,95.38,Laki-laki + Perempuan,2016,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
3146001170,95.5,Laki-laki + Perempuan,2017,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
3146001180,95.66,Laki-laki + Perempuan,2018,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
3146001190,95.9,Laki-laki + Perempuan,2019,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
3146001200,96.0,Laki-laki + Perempuan,2020,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
3146001210,96.04,Laki-laki + Perempuan,2021,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
3146001220,96.35,Laki-laki + Perempuan,2022,Angka Melek Huruf Penduduk Berumur 15 Tahun Ke Atas Menurut Jenis Kelamin
