id,values,area,age_breakdown,year,data_title
99991022321030,10.21,INDONESIA,15+,2003,Persentase Penduduk Buta Huruf
99991022321040,9.62,INDONESIA,15+,2004,Persentase Penduduk Buta Huruf
99991022321050,9.09,INDONESIA,15+,2005,Persentase Penduduk Buta Huruf
99991022321060,8.55,INDONESIA,15+,2006,Persentase Penduduk Buta Huruf
99991022321070,8.13,INDONESIA,15+,2007,Persentase Penduduk Buta Huruf
99991022321080,7.81,INDONESIA,15+,2008,Persentase Penduduk Buta Huruf
99991022321090,7.42,INDONESIA,15+,2009,Persentase Penduduk Buta Huruf
99991022321100,7.09,INDONESIA,15+,2010,Persentase Penduduk Buta Huruf
99991022321110,7.56,INDONESIA,15+,2011,Persentase Penduduk Buta Huruf
99991022321120,7.03,INDONESIA,15+,2012,Persentase Penduduk Buta Huruf
99991022321130,6.08,INDONESIA,15+,2013,Persentase Penduduk Buta Huruf
99991022321140,4.88,INDONESIA,15+,2014,Persentase Penduduk Buta Huruf
99991022321150,4.78,INDONESIA,15+,2015,Persentase Penduduk Buta Huruf
99991022321160,4.62,INDONESIA,15+,2016,Persentase Penduduk Buta Huruf
99991022321170,4.5,INDONESIA,15+,2017,Persentase Penduduk Buta Huruf
99991022321180,4.34,INDONESIA,15+,2018,Persentase Penduduk Buta Huruf
99991022321190,4.1,INDONESIA,15+,2019,Persentase Penduduk Buta Huruf
99991022321200,4.0,INDONESIA,15+,2020,Persentase Penduduk Buta Huruf
99991022321210,3.96,INDONESIA,15+,2021,Persentase Penduduk Buta Huruf
99991022331030,3.88,INDONESIA,15-44,2003,Persentase Penduduk Buta Huruf
99991022331040,3.3,INDONESIA,15-44,2004,Persentase Penduduk Buta Huruf
99991022331050,3.09,INDONESIA,15-44,2005,Persentase Penduduk Buta Huruf
99991022331060,2.89,INDONESIA,15-44,2006,Persentase Penduduk Buta Huruf
99991022331070,2.96,INDONESIA,15-44,2007,Persentase Penduduk Buta Huruf
99991022331080,1.95,INDONESIA,15-44,2008,Persentase Penduduk Buta Huruf
99991022331090,1.8,INDONESIA,15-44,2009,Persentase Penduduk Buta Huruf
99991022331100,1.71,INDONESIA,15-44,2010,Persentase Penduduk Buta Huruf
99991022331110,2.31,INDONESIA,15-44,2011,Persentase Penduduk Buta Huruf
99991022331120,2.03,INDONESIA,15-44,2012,Persentase Penduduk Buta Huruf
99991022331130,1.61,INDONESIA,15-44,2013,Persentase Penduduk Buta Huruf
99991022331140,1.24,INDONESIA,15-44,2014,Persentase Penduduk Buta Huruf
99991022331150,1.1,INDONESIA,15-44,2015,Persentase Penduduk Buta Huruf
99991022331160,1.0,INDONESIA,15-44,2016,Persentase Penduduk Buta Huruf
99991022331170,0.94,INDONESIA,15-44,2017,Persentase Penduduk Buta Huruf
99991022331180,0.86,INDONESIA,15-44,2018,Persentase Penduduk Buta Huruf
99991022331190,0.76,INDONESIA,15-44,2019,Persentase Penduduk Buta Huruf
99991022331200,0.8,INDONESIA,15-44,2020,Persentase Penduduk Buta Huruf
99991022331210,0.73,INDONESIA,15-44,2021,Persentase Penduduk Buta Huruf
99991022341030,25.43,INDONESIA,45+,2003,Persentase Penduduk Buta Huruf
99991022341040,24.87,INDONESIA,45+,2004,Persentase Penduduk Buta Huruf
99991022341050,22.83,INDONESIA,45+,2005,Persentase Penduduk Buta Huruf
99991022341060,21.09,INDONESIA,45+,2006,Persentase Penduduk Buta Huruf
99991022341070,18.94,INDONESIA,45+,2007,Persentase Penduduk Buta Huruf
99991022341080,19.59,INDONESIA,45+,2008,Persentase Penduduk Buta Huruf
99991022341090,18.68,INDONESIA,45+,2009,Persentase Penduduk Buta Huruf
99991022341100,18.25,INDONESIA,45+,2010,Persentase Penduduk Buta Huruf
99991022341110,18.15,INDONESIA,45+,2011,Persentase Penduduk Buta Huruf
99991022341120,17.17,INDONESIA,45+,2012,Persentase Penduduk Buta Huruf
99991022341130,15.15,INDONESIA,45+,2013,Persentase Penduduk Buta Huruf
