id,values,area,tahun,data_title
9999142901150,8.32,INDONESIA,2015,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Provinsi
9999142901160,8.42,INDONESIA,2016,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Provinsi
9999142901170,8.5,INDONESIA,2017,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Provinsi
9999142901180,8.58,INDONESIA,2018,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Provinsi
9999142901190,8.75,INDONESIA,2019,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Provinsi
9999142901200,8.9,INDONESIA,2020,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Provinsi
9999142901210,8.97,INDONESIA,2021,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Provinsi
9999142901220,9.08,INDONESIA,2022,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Provinsi
1100142901150,9.32,ACEH,2015,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Provinsi
1100142901160,9.36,ACEH,2016,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Provinsi
1100142901170,9.42,ACEH,2017,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Provinsi
1100142901180,9.46,ACEH,2018,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Provinsi
1100142901190,9.59,ACEH,2019,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Provinsi
1100142901200,9.71,ACEH,2020,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Provinsi
1100142901210,9.77,ACEH,2021,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Provinsi
1100142901220,9.79,ACEH,2022,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Provinsi
1200142901150,9.34,SUMATERA UTARA,2015,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Provinsi
1200142901160,9.46,SUMATERA UTARA,2016,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Provinsi
1200142901170,9.55,SUMATERA UTARA,2017,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Provinsi
1200142901180,9.61,SUMATERA UTARA,2018,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Provinsi
1200142901190,9.71,SUMATERA UTARA,2019,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Provinsi
1200142901200,9.83,SUMATERA UTARA,2020,Rata-Rata Lama Sekolah Penduduk Umur ≥ 15 Tahun Menurut Provinsi
